artist_name,track_name,Song,lyrics,SongNum,release_date,genre
...AND OCEANS,A.M.G.O.D.,White Synthetic Noise,"Inhale/exhale, Inhale the exhaled, Inhale/exhale, Inhale the injected voice, Inhale/exhale, Exhale the inhaled, Inhale/exhale, Inhale the lines of white noise, , Silence depicted the room, And released the liquids in drops, Infinity licks the tongue of thorns, And devours the cities in drone, , These designers of syndromes, The core of poison free sound, Slowly drifting to the mind of dub, , Gardens swallow the idyllic life, Inhales heavens to earthly eyes, Open palms of autumn scars, Adieus to plaintive solar charm, , ",2,2001,metal
...AND OCEANS,A.M.G.O.D.,Tears Have No Name,"Under the dark sky we stand, Under heavy rain we walk, Your hand in mine, my eyes in tears, Here where heaven is forgiven, Here where tears have no name, , [Chorus:], Wet as rain, I kiss your tears, Tears don't cry, They have no name, , As the dark water pours down, We grow like wild summer roses, With no sun in sight, No footsteps left behind, All this love built on pain, Still the tears have no name, , [Chorus], , The last touch of your cold lips, That light, that warm desire, Through the holes of the night, We slide in the night, In oceans of heaven, The tears have no name, , Our eyes filled with black tears of heaven, Flowers drowned in the darkening oceans, In solitude we all do the same, Coz our tears have no name, , The angel of my dream, Carried away to the stars, Hurt by your cruelty, I breath your beauty, Alone in the rain, With tears that have no name, , ",3,2001,metal
...AND OCEANS,A.M.G.O.D.,Esprit De Corps,"Seducer sun shine on me, Familiar scene, fever dream, hallucination, This beauty of paradise, Even pigs might fly, We're all mesmerised like flies 'round shit, , [Chorus:], , Pigs, pigs, pigs, Esprit de corps, Pigs, pigs, pigs, You're the victims, , Fertile sun, love of life, Philosophic suicide or cyanide, Illumination sunday sun sing tonight, Sing my cherub parasites, Gentle as lambs, Can be cursed by the light called sanity, , [Chorus], , Mirage's your guiding star, Last breath before the dark, When your heart's in the mouth, I lead you up the garden path, , [Chorus], , ",4,2001,metal
...AND OCEANS,A.M.G.O.D.,Odious Lamp_ Devious,"The black iris devours pictures in silence, The image of devils light my consonance, The I of consolation, The eye of consolidation, , Graves are the garden trees, Dead all flowers and so are we, Silent moves of the summer flies, Engraved clouds below divided skies, Insect influx, the scent of the dogs, My sweet flower, and insect on the cross, , [Chorus:], , Darkly wise odour of the evil tongues, Odious and devious, I despise, Jinx of eden, Black paradise, , Lips of times of secret , Murmur evil sprouts, Purges the redeemer, Purge, , The angel of voices, Injected by silence, Last breath of nails, Needles and icons, The eye of consolidation, The I of consolation, Taste the lips of ancient pleasures, Eat the fruit of darkly treasures, , [Chorus], , ",5,2001,metal
...AND OCEANS,A.M.G.O.D.,Of Devlish Tongues,"Night swells to distant spheres, Silent throat of unholy times, The withering wind deep down here, Flesh of the gods bleeding as light, , Here in the environs of heaven, The am sun am outshined one, The idea of beauty is ebony, The last am on my balcony, , Forever people suffer in silence, Always and forever drifting to dark waters, The sand of time, still ominous, As scultured cherubs of the ether, The idea of beauty is ebony, The last am on my balcony, , ""The am sun, my ebony sun"", , Erratic firmament and the perishing clouds, Descending angels, formless divine, To inherit light and silence, so profound, The devlish eyes of the reptile, , Here in the environs of heaven, The am sun am outshined one, The idea of beauty is ebony, The last am on my balcony, , ",6,2001,metal
...AND OCEANS,A.M.G.O.D.,Postfuturistika,"Opulent kinetic sculptures, Visualized voices in motion, Plastic puppet pictures, Audial dances distortion, , Dead stars, dead stars, Oh yes we are dead stars inwards, , I am the pulse of achromatic idols, The fix of cyclic icons, In the land of nod, The orb of angels , And the horns after gods , Adored through a needle, , Opulent kinetic sculptures, Visualized voices in motion, Plastic puppet pictures, Audial dances distortion, , Dead stars, dead stars, Oh yes we are dead stars inwards, , In the land of nod, The orb of angels , And the horns after gods , Adored through a needle, , ",7,2001,metal
...AND OCEANS,A.M.G.O.D.,TBA In A Silver Box,"[instrumental], , ",8,2001,metal
...AND OCEANS,A.M.G.O.D.,New Model World,"[instrumental], , , , , ",9,2001,metal
...AND OCEANS,Cypher,Fragile Pictures Of Silence Melting The Skies,"The nights fall and skies fall, Down here we the sinners crawl, In dead cities and empty streets, All in ruins, but silence never sleeps, , [Chorus:], This world is fragile, Alone and silent, This world is fragile, And we are absent, , Under melting skies - Into cold light, , ",1,2002,metal
...AND OCEANS,Cypher,Silhouette In White Rooms Vacant Bodies,"The light of the sun - is so cold down here, My dirty desert tongue - licking like dogs forever, Open wounds never heal - for a slave in its flesh, The scent of joy we feel - A naked soul crushed, , [Chorus:], It's all empty - it's all white, It's all empty - empty as the sky, , Silence &amp; happiness in one - but way too many insects, You, yours and all of them - you are all like rats, Crawl into the light cold - celebrate your new skin, Dead and clean to the wound - An escapee of all sins, , [Chorus], , ",10,2002,metal
...AND OCEANS,Cypher,Comatose The World Amnesia Planet Dead,"I love this world, And these people, the beautiful ones, I love this world, And your goddamn sun, , I love this world, And the family of fragile dreams, I love this world, When the world goes to sleep, , [Chorus:], You're so pretty - planet dead, You're so pretty - planet dead, You're so pretty - planet dead, You're so pretty - planet dead, , I love this world, Empty with its black holes, I love this world, And the ones without a soul, , I love this world, With a bullet for each one, I love this world, When tomorrow never comes, , [Chorus], , ",11,2002,metal
...AND OCEANS,Cypher,Debris The Magenta Harvest Liquid Flesh,"There lies a body: cold, bloated and empty, Like all the other: victims together, The happiness in silence: good without pretence, And the last day: with a smile on the face, , There lies a body: pretty soak in ebony, Like all the worms: in their corridors, Liquid flesh endowed: to impure the ground, And the fallen souls: make the flowers grow, , [Chorus:], We float, drift and pass away, For ever and a day, , The debris of time falls into oblivion, As heavens open its gates of lies, Gone is the light of the sun, And nigh is the final harvest of life, , ",12,2002,metal
...AND OCEANS,Cypher,Nail An Odyssey In Flesh Celebrate The New Skin,"Touch me!, I am a disease!, Clean me!, Imprisoned in flesh I am!, I am sin!, , Smell me!, I am a slave!, Release me!, The impure flesh I am!, I am pleasure!, , Taste me!, I am life!, Kill me!, Punishment I am!, I am beauty!, , Feel me!, I am cold!, Cleanse me!, Purify me from all life!, I am free!, , , , , ",13,2002,metal
...AND OCEANS,Cypher,Picturesque Cataclysm Saviour And The Little Things That Make Us Smile,"Savour!, The things that never were!, Escape!, To/from reality!, That never was!, That never will be!, , Prohibit!, All the little things!, Crawl!, Into serenity!, That could've been!, That will never be!, , [Chorus:], Smile - I said smile you slime, , Smile!, It's all falling apart!, Plunge!, Into catastrophe!, That was today!, That remains the same!, , [Chorus], , It's all falling apart, , [Chorus], , ",2,2002,metal
...AND OCEANS,Cypher,Angelina Chthonian Earth Her Face Forms Worms,"Another day another night, It's all the same, but is it forever, Another way another time, Silence and happiness now together, Another end another life, It's all the same; it's all over, Another smile for parasites, And the dogs that can smell her, , [Chorus:], Can't you see the light? Can't you see the light?, No, no, no, no, Can't you see the light? Can't you see the light?, No, no, no, no, Can't you see the light? Can't you see the light?, No, no, no, no, Can't you see the light? Can't you see the light?, No, no, no, no, , Another face another smile, Nails carving deeper and deeper, Another eye another sight, Seeing nothing never and ever, Another form another light, Crawling higher, higher and higher, Another skin another white, And a sun that is brighter, , [Chorus], , Another voice another sigh, Calling stronger and stronger, Another scent another life, Now smell the filth odour, Another taste another try, On your tongue the fruit so bitter, Another world another side, In control to crush your soul, , [Chorus], , Another face another form, It is her face that forms worms, , ",3,2002,metal
...AND OCEANS,Cypher,Halcyon The Heavy Silence In Silent Rain,"Listen: the fragile world is silent, Tongues speak a voice of decay, Of the melting skies and the heavy rains, About the odours of life so distant, We stand as silhouettes of today, Empty as the sky with our bodies vacant, , [Chorus:], Heavy is the silence of today, This world will fall - our world will fall, Into the silence of today, It will fall as the silent rain, , Feel: the presence is a stolen moment, Lost are we in the lives of dismay, Between horizons and the limbo grey, Bloated we swim in the scent, Soon time eats the life away, But, I hope there's a little life in us left, , [Chorus], , ",4,2002,metal
...AND OCEANS,Cypher,Aphelion Light Evanescence Into Extinction,"It's a crime - it is a crime to be innocent, In life - in this life and presence, All life - all life is indifferent, Now's when - when all's past and gone, , [Chorus:], Turn away - fade away, Turn away - fade away, , It's a crime - it is a crime to be silent, When colours - when colours have no nuance, You little - you little insects, Splashed out - splashed out of all essence, , Fade away - fade away, Fade away - closer every day, , [Chorus], , ",5,2002,metal
...AND OCEANS,Cypher,Opaque The Morning I Woke Up Dead Today Is The Day,"[Chorus:], Today is the day - the world is going away, Today is the day - we're all going away, , When will we dream away; end this life in dismay, See the last sad rays, as flowers we wither away, , [Chorus], , When will time eat us away; our dead faces portray, Turn all of us cold and grey, the years will sweep us away, , [Chorus], , ",6,2002,metal
...AND OCEANS,Cypher,Aphid Devil Flower Fruits Of Lunacy,"As flowers on the grave of earth inferno, We are all good people, Dressed not in white we are, Ascendants of heaven, In a symbolic imaginative essence, Descending angels we are, Falling as rain to impure the ground, And to flourish as flowers, Before we wither, With a scent of heavenly dew, , As time that gnaws on the bones of life, We are the floating liquid flesh, The crawling sinners we are, Melting the heavens, As death silences all sweet voices, Renders of the clouds we are, Swarming as sinners to the universal presence of the fall, And to taste the fruits of lunacy, Before we fall, Into a devilish exercise, , ",7,2002,metal
...AND OCEANS,Cypher,Voyage Lost Between Horizons Eaten By The Distance,"Time drips in passionate decay, Lost between eternities' scent, Sun burns brighter every day, Flaming fires like nails of torment, , [Chorus:], No place to crawl - no space to fall, , A moment of clarity, Devoured by purity, Voices swallowed by hunger, As death shines brighter, All images drowned in eyes, Into light under melting skies, , [Chorus], , ",8,2002,metal
...AND OCEANS,Cypher,Catharsis End Of Organisms Absolute Purification Of Sins,"Purify!, Earth inferno!, Into the void!, Plunge into darkness cold!, Into darkness, light visible!, A divine remedy!, Cleansed of all impurities!, , Evaporate!, Totally absolute!, Into the void!, The light of the night!, Black holes fill the souls!, World's beauty sleep!, New faces portrayed!, , Dehydrate!, The beauty of lies!, End of life's odours!, Tripod oblivion!, Marionettes!, Hung from the ceiling!, Universal crucifixion!, , [Chorus:], New order!, Re-formation!, Consumption!, New world!, Completion!, Celebration!, , ",9,2002,metal
...AND OCEANS,The Dynamic Gallery Of Thoughts,Trollfan,"Ta mig ГѓВ¶ver brinnande vatten, Lat snГѓВ¶n smГѓВ¤lta i handen, Fangad av starkaste nГѓВ¤t, Sanden star torr och het, , Det tisslar och tasslar, Lyssna - LГѓВ¶ven prasslar, , I denna hГѓВ¤rliga trГѓВ¤dgard, Med ljuvligaste frukter, Bland praktfulla blommor, Och de sГѓВ¶taste druvor, , ",1,1998,metal
...AND OCEANS,The Dynamic Gallery Of Thoughts,Som Oppna Bocker,"Kom ut ur din svarta lada, Ge mig naglar fГѓВ¶r min klada, Slicka mig med din frГѓВ¤tande tunga, Lat dina magiska lГѓВ¤pper sjunga, , En sida efter den andra, Sidor som liknar varandra, , Tolka mig som du vill, ГѓВ„r jag ett sista kapitel?, , Kommer som svГѓВ¤rmande flugor, FГѓВ¶rbannar mig med fasettГѓВ¶gon, Infektera mig med dina ord, FГѓВ¶rgifta mig med ditt blod, , ",2,1998,metal
...AND OCEANS,The Dynamic Gallery Of Thoughts,September (Nur Hjartat Bloder),"The first burning candle, Like a newborn in a cradle, Forgotten at days, For autumnal landscapes, , The slowly falling leaves, Like a man's heavy tear, Alone in the forest, Yearning for the sunset, , The last growing flower, Like last september, In silence heard, Only one singing bird, , The first cold wind blows, Like the rain in mist, Blows its tearful song, In the horizon, , The first appearing star, Like a letter from afar, For the ones alone, With hearts of stone, , The last autumn sight, Like a lonesome sigh, In the forest deep, Into wintry sleep, , ",3,1998,metal
...AND OCEANS,The Dynamic Gallery Of Thoughts,The Room Of Thousands Arts,"TrГѓВ¤ng dig genom vГѓВ¤ggens bud, Till en vГѓВ¤rld utan ljud an, exponent for number 10 and m(3), Ett rum (5,101 x 10(14)m(2)) i djupets, botten is supposed to the square meter, ...och haven utan vatten, , SmГѓВ¤lter ramens dag, Under penselns tunna drag, Skapas konstens sfГѓВ¤r, Utan tavlans stora konstnГѓВ¤r, , En malning utan namn, ГѓВ„r som batar utan hamn, , ",4,1998,metal
...AND OCEANS,The Dynamic Gallery Of Thoughts,Karsimyksien Vaaleat Kadet,"Skuggan fГѓВ¶ddes av smГѓВ¤rta, FГѓВ¶r livet som var borta, Som vattnet i brunnen, I en ГѓВ¤ndlГѓВ¶s tunnel, , En skur av het snГѓВ¶, KvГѓВ¤ver asikter med rГѓВ¶k, FГѓВ¤rger ГѓВ¤r tystnadens musik, Vingar fГѓВ¶r var framtid, , Genom det ГѓВ¶ppna fГѓВ¶nstret, Till en fГѓВ¶rsvunnen horisont, Med segel i masten, Lyfter de tyngsta vatten, , Tiden spyr gamla dagar, Mot fjГѓВ¤rrans nya vГѓВ¤gar, , ",5,1998,metal
...AND OCEANS,The Dynamic Gallery Of Thoughts,Je Te Connais Beau Masque,"Open the white doors, To the field of thoughts, Where no light dances, Through the 6 panes (white pain), , Sanat muodostuvat ajatusten galleriassa, Tieto on valtaa opettajien holvissa, , En skГѓВ¤rm av myror som ingen noterar, Ljud fran lador... i luften roterar, , VГѓВ¤ggen av tunn rГѓВ¶k sugs ut, Ensam i en silvervГѓВ¤rld, Den sista duvan flГѓВ¶gt till slut, Bland snГѓВ¶flingor i vind, , ",6,1998,metal
...AND OCEANS,The Dynamic Gallery Of Thoughts,Ur Aldrig Saga Och Sang,"...och ater fran havens land, Dessa tunna sidor tunga blad, Vindar som nГѓВ¶ter stenar, Vagor som skriver namn, , NГѓВ¤r livets grenar ГѓВ¤ro brutna, Da tarfyllda ГѓВ¶gon ГѓВ¤r slutna, Bristande hjГѓВ¤rta mot en hand, KГѓВ¤rleKEN rann ut i sand, , Var ГѓВ¤r ГѓВ¤ngens blommor, Och aftonens langa skuggor, ГѓВ„ven hГѓВ¤nder kan fГѓВ¶rsta, Den varma lagan var bla, , I tankars mГѓВ¶rkaste kГѓВ¤llor, FГѓВ¶rlorad i tidens dimmor, Bland forna tiders somrar, Sorgen ГѓВ¤r var ГѓВ¤nnu varm, , Att sanger ГѓВ¤r som trГѓВ¤d, Vissnar och dГѓВ¶r i fГѓВ¶rtid, I sГѓВ¶mn eller djupaste drГѓВ¶m, En vit strГѓВ¶m lГѓВ¤ngs med snГѓВ¶n, , Den sista timma nu slar, ГѓВ„n en tung sista tur, Sagans vГѓВ¤g sa lang, Aren aldras med sang, , ",7,1998,metal
...AND OCEANS,The Dynamic Gallery Of Thoughts,Samtal Med Tankar Halo Of Words,"Svarar framtiden pa, tomhetens fГѓВ¶rganga drГѓВ¶mmar, Skapas kunskap av svalda ord, ur bГѓВ¶ckers strГѓВ¶mmar, , Living in the inner worlds, Collecting all the fallen words, Are we verbally designed, In... sleep or preoccupied, , Kan inte vinden blasa nalar, mot balongen, Rinner kalla stearinet bort till, glГѓВ¶mda minnen, , 1998 Season Of Mist, , , ",8,1998,metal
...AND OCEANS,The Symmetry Of I The Circle Of O,Mechanic Hippie,"What are these penetrating colors, Of this soundscaping noisefloor?, Is this the old empty future, or the black eletric nature?, , Colors circulate inside of O, Ambient mind, the overdose, (...and I was injected with silence), , Are we all elastic worms, In this red tekknostorm?, Are there any energetic atoms, In this paradoxical zone?, , Can the relapse of spasms, Be the rhythm of this dance?, Is this the neo-cultural spacetrip, Or the perpetual trancegrip?, , Is the echo a shadow of presence, Or a soundtrack for nonexistance, Are the voices orchestral nightmares, Or synonyms to black and white faces?, , Color circulate inside of O, Anbient mind, the overdose, (... and along came the spasms), , Are we all elastic worms, In this red tekknostorm?, Are there any energetic atoms, In this paradoxical zone?, , ",1,1999,metal
...AND OCEANS,The Symmetry Of I The Circle Of O,Aquarium Of Children - Ajatusten Merenpinta,"Like stones in silence I stand, As I draw circles in the sand, Naked under blue glass, Drowned I watch children dance, , In a mind of an echo, , (I know that I am I, if and only if I, believe that I am I), , I float to the distance to eat the horizon, I cut the sunbeams the day before tomorrow, Tranceform the time to a silent history, Run under water in eternal serenity, , ...is it easy to run, to run under water?, ...is it easy to paint, to paint without colors?, , I float to the distance to eat the horizon, I cut the sunbeams the day before tomorrow, Tranceform the time to a silent history, Run under water in eternal serenity, , (If i would've been the other I, and if I would've wanted to be the other I, then I could've been I), , ...is it easy to run, to run under water?, ...is it easy to paint, to paint without colors?, , As an echo in the mind, , ",2,1999,metal
...AND OCEANS,The Symmetry Of I The Circle Of O,The Black Vagabond And The Swan Of Two Heads,"Still the fields are in motion, Not as pictures but as time, Hunting the white plague, In the absence of my body, , I watch myself drown, in the blue aura, Of mine and I see, The swans leave the pond, , But still the words circle, Around my head like flies, , The gnashing marble teeth, Were disturbing my slumber, And there I was in the middle, Of a game called chess, But my vagabond initiated the process, , Yet the fields are in motion, Not as time but as clouds, Falling as silver rain, And washing away the heavy blood, , The gnashing marble teeth, Were disturbing my slumber, And there I was in the middle, Of a game called chess, But my vagabond initiated the process, , ",3,1999,metal
...AND OCEANS,The Symmetry Of I The Circle Of O,Solipsism,"Extraction from O'mindiary, , When I was younger (a naive christian, with thoughts like melting sugar), my fingers were attacked by, nails and I could hear the voice of, J.C. screaming under my skin,, trapped like a slave in my flesh. This, was in those days when water flew in, my veins, the rain kept on pouring, inside my head and I denied &amp; killed, him (not with scissor nor knives, but, with the inner muscles of my, torso). The rumor says that the, bastard was raped by the cross, but, maybe he was a hermaphrodite who, raped himself., ...det vitala med perpetuella varandet, ГѓВ¤r att vara transparent existerande..., I understood that this mental traffic, was a new symbol burned in my, mind, like planets in orbit around me, I was stading in the centre with the, sun in my pocket thinking: existence, is an illusion, mankind will face the, mushroom cloud, but I am I, the, ultimate god., , ",4,1999,metal
...AND OCEANS,The Symmetry Of I The Circle Of O,Baby Blue Doll - Merry Go Mind,"I (even if I should be in plural) am the, Singular dimension, The repeated phrase of a lost section, Where the circle (the actual box of colors), Is completed, The mindjourney, the merry go mind, , Draw the lined in water - divine the innerwold, Inside the outside of the merry go mindstop, , I (...and not the others of I) painted the words, To a context, a mind absurd, To curse the falling star, With the baby blue doll under my arm, , Draw the lined in water - divine the innerwold, Inside the outside of the merry go mindstop, , We (the division of I) paint with, Eyes the parade of the air, From a transparent perspective:, We are the spheres, , Feel the warm magma inside, In veins the stream of honey, colors ascend to the mind, I greet the blue harmony, , ...only then, I (...and not the singular I) will believe in, The empty shadows, but..., , ",5,1999,metal
...AND OCEANS,The Symmetry Of I The Circle Of O,Acid Sex And Marble Teeth (You-Phoria),"...and still I dream about the colors, , Or was it smoke that surrounded my thoughts, When I was sitting in my garden, , That black Monday (momentaaninem, pimeys, melankolian iГѓВ¤isyys), , Brought flowers and silence, but that, sunshine is in another aspect, Nothing But a verbal virus when I welcome the clouds..., Sub specie aeterni I still am the mechanic hippie, And the outside is reflected inside me... well, Am I the shadow of myself, coz I really, Don't believe in the empty shadows (but, When I believe then and only then I, Believethat I am not I) but it's nice, And relaxing to stand naked by the, window watching heaven's children falling, As rain (samalla kun piirtelen viivoja, veteen ajatusten merenpinta laskee, alle normaalitason), ...but after all take what is needed, so, children forget heaven..., , ",6,1999,metal
...AND OCEANS,The Symmetry Of I The Circle Of O,I Wish I Was Pregnant,"What if the case was..., , The candle is burning once again, Like the faces of black and white children, , ...the girl in every man..., , a long abortion is what life is, Long as a shadow filled with emptiness, , Like the shadow of a shadow, Life is fading away like a dying flower, , If I could, I would rape myself, If I was pregnant, I'd give birth to myself and my own death, , ...the man in every girl..., , Innocent (Innoceant) and young, Swallowing myself and the inner sun (son), , Like the shadow of a shadow, Life is fading away like a dying flower, , ...but that's not the case yet, or..., , ",7,1999,metal
...AND OCEANS,The Symmetry Of I The Circle Of O,Stained _Puissance cover_,", Anzhaar - Keyboards, Nepture - Guitar, K-2T4-S - Volcals, de Monde - Guitar, Gaunt - Bass, Grief - Drums, , Recorded &amp; Mixed by Ahti Kortelainen and Seppo Juoppo Hovi, in the Tico Tico Studio, Finland, Produced by Seasons of Mist, Mastered by James Murphy at Soundtemple Studio, California, Lyrics &amp; Music by ...and Oceans except ""Stained"" by Puissance, OBC logo retouched by Once, Artwork by Jukka Sikala, , , ",8,1999,metal
